Test Case ID|TC title|TC description|TC purpose|Scenario ID|Disabilities|AT|User Agent|User Guidance|Question|Question Type
sc1.1.1_l1_016|Alternative text for two nested objects with both description and image map inside innermost object|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains the image map and a text alternative that identifies the image and conveys the same information.|This test case is intended to pass because the innermost object element contain appropriate alternative text. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s07|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_016|Alternative text for two nested objects with both description and image map inside innermost object|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains the image map and a text alternative that identifies the image and conveys the same information.|This test case is intended to pass because the innermost object element contain appropriate alternative text. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s08|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_016|Alternative text for two nested objects with both description and image map inside innermost object|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains the image map and a text alternative that identifies the image and conveys the same information.|This test case is intended to pass because the innermost object element contain appropriate alternative text. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s09|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_017|Alt attribute for areas in client-side image maps: object and nested image both referencing same map|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. However, the alt attribute of one of the map's area elements is empty. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to fail because one of the areas of the image map has no text alternative. The empty text alternative is an issue in itself, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s01|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_017|Alt attribute for areas in client-side image maps: object and nested image both referencing same map|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. However, the alt attribute of one of the map's area elements is empty. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to fail because one of the areas of the image map has no text alternative. The empty text alternative is an issue in itself, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s02|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_017|Alt attribute for areas in client-side image maps: object and nested image both referencing same map|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. However, the alt attribute of one of the map's area elements is empty. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to fail because one of the areas of the image map has no text alternative. The empty text alternative is an issue in itself, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s03|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_017|Alt attribute for areas in client-side image maps: object and nested image both referencing same map|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. However, the alt attribute of one of the map's area elements is empty. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to fail because one of the areas of the image map has no text alternative. The empty text alternative is an issue in itself, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s04|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_017|Alt attribute for areas in client-side image maps: object and nested image both referencing same map|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. However, the alt attribute of one of the map's area elements is empty. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to fail because one of the areas of the image map has no text alternative. The empty text alternative is an issue in itself, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s05|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_017|Alt attribute for areas in client-side image maps: object and nested image both referencing same map|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. However, the alt attribute of one of the map's area elements is empty. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to fail because one of the areas of the image map has no text alternative. The empty text alternative is an issue in itself, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s06|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_017|Alt attribute for areas in client-side image maps: object and nested image both referencing same map|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. However, the alt attribute of one of the map's area elements is empty. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to fail because one of the areas of the image map has no text alternative. The empty text alternative is an issue in itself, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s07|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_017|Alt attribute for areas in client-side image maps: object and nested image both referencing same map|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. However, the alt attribute of one of the map's area elements is empty. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to fail because one of the areas of the image map has no text alternative. The empty text alternative is an issue in itself, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s08|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_017|Alt attribute for areas in client-side image maps: object and nested image both referencing same map|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. However, the alt attribute of one of the map's area elements is empty. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to fail because one of the areas of the image map has no text alternative. The empty text alternative is an issue in itself, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s09|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_018|Alternative text for areas in client-side image maps: object and nested image both referencing same map; empty alt attributes in image map areas|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. However, the alt attributes of the map's area elements are all empty. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s01|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_018|Alternative text for areas in client-side image maps: object and nested image both referencing same map; empty alt attributes in image map areas|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. However, the alt attributes of the map's area elements are all empty. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s02|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_018|Alternative text for areas in client-side image maps: object and nested image both referencing same map; empty alt attributes in image map areas|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. However, the alt attributes of the map's area elements are all empty. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s03|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_018|Alternative text for areas in client-side image maps: object and nested image both referencing same map; empty alt attributes in image map areas|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. However, the alt attributes of the map's area elements are all empty. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s04|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_018|Alternative text for areas in client-side image maps: object and nested image both referencing same map; empty alt attributes in image map areas|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. However, the alt attributes of the map's area elements are all empty. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s05|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_018|Alternative text for areas in client-side image maps: object and nested image both referencing same map; empty alt attributes in image map areas|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. However, the alt attributes of the map's area elements are all empty. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s06|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_018|Alternative text for areas in client-side image maps: object and nested image both referencing same map; empty alt attributes in image map areas|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. However, the alt attributes of the map's area elements are all empty. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s07|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_018|Alternative text for areas in client-side image maps: object and nested image both referencing same map; empty alt attributes in image map areas|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. However, the alt attributes of the map's area elements are all empty. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s08|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_018|Alternative text for areas in client-side image maps: object and nested image both referencing same map; empty alt attributes in image map areas|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. However, the alt attributes of the map's area elements are all empty. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s09|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_019|Alternative text for areas in client-side image maps: object and nested image both referencing same map; empty alt attributes in image map areas|A document with an object element in an image map, where the image map code is inside the object element. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s01|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_019|Alternative text for areas in client-side image maps: object and nested image both referencing same map; empty alt attributes in image map areas|A document with an object element in an image map, where the image map code is inside the object element. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s02|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_019|Alternative text for areas in client-side image maps: object and nested image both referencing same map; empty alt attributes in image map areas|A document with an object element in an image map, where the image map code is inside the object element. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s03|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_019|Alternative text for areas in client-side image maps: object and nested image both referencing same map; empty alt attributes in image map areas|A document with an object element in an image map, where the image map code is inside the object element. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s04|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_019|Alternative text for areas in client-side image maps: object and nested image both referencing same map; empty alt attributes in image map areas|A document with an object element in an image map, where the image map code is inside the object element. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s05|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_019|Alternative text for areas in client-side image maps: object and nested image both referencing same map; empty alt attributes in image map areas|A document with an object element in an image map, where the image map code is inside the object element. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s06|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_019|Alternative text for areas in client-side image maps: object and nested image both referencing same map; empty alt attributes in image map areas|A document with an object element in an image map, where the image map code is inside the object element. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s07|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_019|Alternative text for areas in client-side image maps: object and nested image both referencing same map; empty alt attributes in image map areas|A document with an object element in an image map, where the image map code is inside the object element. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s08|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_019|Alternative text for areas in client-side image maps: object and nested image both referencing same map; empty alt attributes in image map areas|A document with an object element in an image map, where the image map code is inside the object element. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s09|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_020|Alternative text for areas in client-side image maps: two nested objects and nested image all referencing same map; empty alt attributes in image map areas|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s01|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_020|Alternative text for areas in client-side image maps: two nested objects and nested image all referencing same map; empty alt attributes in image map areas|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s02|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_020|Alternative text for areas in client-side image maps: two nested objects and nested image all referencing same map; empty alt attributes in image map areas|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s03|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_020|Alternative text for areas in client-side image maps: two nested objects and nested image all referencing same map; empty alt attributes in image map areas|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s04|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_020|Alternative text for areas in client-side image maps: two nested objects and nested image all referencing same map; empty alt attributes in image map areas|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s05|blindness,low vision,|screenreader(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_020|Alternative text for areas in client-side image maps: two nested objects and nested image all referencing same map; empty alt attributes in image map areas|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s06|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_020|Alternative text for areas in client-side image maps: two nested objects and nested image all referencing same map; empty alt attributes in image map areas|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s07|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.0);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_020|Alternative text for areas in client-side image maps: two nested objects and nested image all referencing same map; empty alt attributes in image map areas|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s08|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_020|Alternative text for areas in client-side image maps: two nested objects and nested image all referencing same map; empty alt attributes in image map areas|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|This test case is intended to fail because none of the areas of the image map has a text alternative. The empty text alternatives are an issue in their own right, but, in addition to this, browser support for the object element may also determine if this test case is accessible or not. Internet Explorer has weak or no support for the object element.|s09|low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),Microsoft Internet Explorer(version=6.0);||Did you understand what was in the image?|yesNoOpenQuestion|
